,name,year,team,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,이루타,삼루타,홈런,볼넷,고의사구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
258,듀브론트,18,롯데,2.33,25,0,0,25,6,9,0,0,137.1,82,75,629,162,29,2,13,62,1,8,109,3,10,4.92,4.98,1.63,106.1,104.8,2.33
259,김원중,21,롯데,2.26,61,0,0,0,4,4,35,0,62.2,26,25,268,50,8,0,6,28,4,3,64,0,8,3.59,3.83,1.25,126.6,116.5,2.26
260,손승락,18,롯데,2.24,57,0,0,0,3,5,28,0,57.2,26,25,250,53,13,0,1,20,4,1,60,0,2,3.9,2.86,1.27,133.7,182.5,2.24
261,반즈,22,롯데,2.21,15,0,0,15,7,4,0,0,96.0,36,29,399,85,14,3,5,22,1,10,86,0,2,2.72,3.15,1.12,145.0,122.7,2.21
262,구승민,18,롯데,2.20,64,0,0,0,7,4,0,14,73.2,33,30,307,62,15,0,12,31,6,3,75,1,2,3.67,5.06,1.26,142.3,103.6,2.2
263,박세웅,20,롯데,2.02,28,0,0,28,8,10,0,0,147.1,85,77,658,177,27,2,20,47,0,8,108,0,13,4.7,4.97,1.52,103.6,96.5,2.02
264,구승민,20,롯데,1.94,57,0,0,0,5,2,0,20,60.1,25,24,238,40,9,0,8,26,2,0,58,0,1,3.58,4.55,1.09,136.1,105.5,1.94
265,진명호,19,롯데,1.88,60,0,0,0,3,2,0,9,63.1,24,24,273,56,12,0,4,35,4,1,51,0,3,3.41,4.13,1.44,122.9,101.2,1.88
266,노경은,20,롯데,1.70,25,1,0,24,5,10,0,0,133.0,76,72,574,139,31,1,19,40,2,3,77,0,3,4.87,5.18,1.35,100.0,92.7,1.7
267,오현택,18,롯데,1.64,72,0,0,0,3,2,0,25,64.2,32,27,268,66,9,0,11,12,0,3,63,1,2,3.76,4.79,1.21,138.8,109.3,1.64
268,김원중,20,롯데,1.61,58,0,0,0,5,4,25,0,59.1,29,26,249,52,14,1,8,23,5,0,57,0,1,3.94,4.3,1.26,123.5,111.8,1.61
269,이인복,21,롯데,1.31,25,0,0,8,3,0,0,1,61.1,31,28,271,75,17,3,5,14,1,5,45,0,0,4.11,3.81,1.45,110.6,117.3,1.31
270,구승민,21,롯데,1.27,68,0,0,0,6,5,0,20,62.1,30,30,262,47,7,2,5,31,0,4,65,1,4,4.33,3.97,1.25,104.9,112.4,1.27
271,박세웅,22,롯데,1.26,13,0,0,13,5,5,0,0,80.1,36,32,332,81,14,2,4,16,1,4,79,0,3,3.59,2.68,1.21,110.0,143.7,1.26
272,진명호,18,롯데,1.19,60,0,0,0,5,4,1,9,61.2,34,30,282,53,19,0,7,46,6,1,65,0,3,4.38,5.2,1.61,119.1,100.7,1.19
273,장시환,19,롯데,1.18,27,0,0,27,6,13,0,0,125.1,78,69,570,147,29,1,12,58,1,2,109,0,17,4.95,4.32,1.64,84.6,97.2,1.18
274,박시영,19,롯데,1.05,43,0,0,6,1,1,0,4,61.2,30,29,262,51,10,1,5,27,0,4,60,0,7,4.23,4.02,1.27,99.1,104.3,1.05
275,박세웅,19,롯데,0.98,12,0,0,12,3,6,0,0,60.0,33,28,263,66,12,3,3,23,0,0,44,0,4,4.2,3.74,1.48,99.8,112.2,0.98
276,김건국,19,롯데,0.90,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.5,94.1,91.6,0.9
277,손승락,19,롯데,0.85,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,3.56,1.39,106.7,117.4,0.85
278,톰슨,19,롯데,0.82,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.4,0.82
279,프랑코,21,롯데,0.76,37,0,0,27,9,8,0,1,150.0,97,90,677,147,31,2,20,75,0,20,124,1,6,5.4,5.31,1.48,84.2,84.1,0.76
280,고효준,19,롯데,0.70,75,0,0,0,2,7,0,15,62.1,34,33,280,58,13,1,6,36,6,3,72,0,11,4.76,3.93,1.51,88.0,106.2,0.7
281,다익손,19,롯데,0.66,17,0,0,16,3,8,0,0,83.2,52,46,369,99,10,1,8,22,1,4,59,1,3,4.95,4.13,1.45,84.7,101.6,0.66
282,이인복,22,롯데,0.65,14,0,0,12,5,7,0,1,70.1,36,33,296,78,12,0,4,15,0,3,45,0,2,4.22,3.52,1.32,93.3,109.6,0.65
283,서준원,19,롯데,0.63,33,0,0,16,4,11,0,0,97.0,61,59,443,117,25,1,10,38,0,11,60,1,1,5.47,5.02,1.6,76.6,83.5,0.63
284,서준원,20,롯데,0.56,31,0,0,20,7,6,0,0,107.2,71,62,480,130,18,0,16,31,1,5,60,0,3,5.18,5.35,1.5,94.0,89.8,0.56
285,윤성빈,18,롯데,0.39,18,0,0,10,2,5,0,0,50.2,36,36,235,51,12,0,5,36,0,3,65,0,5,6.39,4.86,1.72,81.6,107.7,0.39
286,송승준,18,롯데,0.35,22,0,0,15,3,4,0,0,79.0,58,54,361,93,23,2,8,35,0,4,68,0,5,6.15,4.91,1.62,84.8,106.4,0.35
287,스파크맨,22,롯데,0.34,12,0,0,12,2,2,0,0,54.0,29,26,240,54,9,0,3,29,1,3,59,0,4,4.33,3.55,1.54,91.0,108.5,0.34
288,샘슨,20,롯데,0.30,25,0,0,25,9,12,0,0,130.0,87,78,590,167,25,1,14,36,0,6,87,2,8,5.4,4.59,1.56,90.2,104.6,0.3
289,김원중,18,롯데,0.02,30,0,0,30,8,7,0,0,145.1,115,112,681,173,37,2,28,77,1,11,137,0,7,6.94,6.25,1.72,75.2,83.7,0.02
290,이승헌,21,롯데,-0.00,16,0,0,12,0,3,0,0,57.2,39,37,278,65,10,0,2,43,0,7,32,1,11,5.77,5.28,1.87,78.7,84.6,-0.0
291,김원중,19,롯데,-0.36,28,0,0,17,5,10,0,1,102.1,75,65,485,127,21,1,13,47,1,6,93,0,6,5.72,4.76,1.7,73.3,88.2,-0.36
292,양현종,19,KIA,7.35,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,2.63,1.07,183.1,160.3,7.35
293,브룩스,20,KIA,7.16,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.5,2.72,1.02,192.2,177.8,7.16
294,양현종,18,KIA,5.21,29,3,0,29,13,11,0,0,184.1,88,85,772,199,33,0,21,43,1,2,152,0,5,4.15,4.38,1.31,123.7,117.9,5.21
295,정해영,21,KIA,3.79,64,0,0,0,5,4,34,0,65.1,18,16,272,49,10,0,5,28,1,4,49,0,1,2.2,4.25,1.18,201.8,104.7,3.79
296,멩덴,21,KIA,3.09,21,0,0,21,8,3,0,0,120.0,53,48,502,109,18,2,12,35,0,8,104,3,2,3.6,3.97,1.2,123.5,111.9,3.09
297,헥터,18,KIA,2.96,29,1,0,29,11,10,0,0,174.0,102,89,753,209,31,0,25,36,2,4,137,1,4,4.6,4.78,1.41,111.5,107.9,2.96
298,장현식,21,KIA,2.93,69,0,0,0,1,5,1,34,76.2,28,28,336,67,7,1,7,42,1,3,80,0,8,3.29,4.15,1.42,135.3,107.3,2.93
299,문경찬,19,KIA,2.88,54,0,0,0,1,2,24,0,55.0,9,8,217,45,9,1,2,10,1,0,50,0,0,1.31,2.55,1.0,320.3,165.4,2.88
300,가뇽,20,KIA,2.84,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33,8,7,64,0,9,141,0,13,4.34,3.73,1.42,110.6,129.2,2.84
301,박준표,20,KIA,2.66,50,0,0,0,7,1,6,11,51.2,16,9,205,41,3,0,3,8,2,0,44,0,2,1.57,2.96,0.95,306.2,162.2,2.66
302,양현종,20,KIA,2.52,31,0,0,31,11,10,0,0,172.1,99,90,746,180,40,4,13,64,0,5,149,0,7,4.7,4.01,1.42,102.1,120.1,2.52
303,김윤동,18,KIA,2.37,64,0,0,0,7,6,4,18,82.2,39,34,369,71,13,1,9,54,7,2,79,0,7,3.7,5.12,1.51,138.7,100.9,2.37
304,이의리,21,KIA,2.35,19,0,0,19,4,5,0,0,94.2,42,38,404,69,11,0,6,56,0,2,93,0,5,3.61,4.03,1.32,123.1,111.0,2.35
305,박준표,19,KIA,2.14,49,0,0,0,5,2,0,15,56.0,15,13,210,42,5,1,4,6,1,4,30,0,1,2.09,3.74,0.86,200.7,111.8,2.14
306,브룩스,21,KIA,2.06,13,0,0,13,3,5,0,0,78.0,34,29,333,93,12,1,4,16,0,1,55,0,0,3.35,3.24,1.4,132.9,137.5,2.06
307,임기영,21,KIA,1.98,28,0,0,28,8,8,0,0,153.0,85,83,662,155,29,1,15,45,0,11,129,2,6,4.88,4.02,1.31,91.1,110.6,1.98
