,name,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,이루타,삼루타,홈런,볼넷,고의사구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,wpa,year,team
106,이종혁,0.86,47,0,0,0,0,5,1,4,48.1,28,25,215,61,8,0,4,17,3,2,31,0,2,4.66,4.62,1.61,113.8,112.8,-2.12,18,KT
107,엄상백,0.79,16,0,0,11,6,2,0,0,65.0,31,27,274,65,8,1,7,21,0,2,58,0,0,3.74,4.0,1.32,106.0,97.5,0.28,22,KT
108,주권,0.78,28,0,0,0,2,2,1,8,27.1,10,10,107,27,3,0,3,4,0,0,21,0,0,3.29,3.65,1.13,120.3,106.9,1.04,22,KT
109,김재윤,0.74,28,0,0,0,2,3,15,0,30.2,13,11,124,21,2,0,2,10,4,0,36,0,1,3.23,2.41,1.01,122.7,162.4,0.64,22,KT
110,김대유,0.69,21,0,0,0,0,0,0,0,27.0,7,7,111,21,6,0,1,12,1,4,23,0,0,2.33,3.85,1.22,177.4,107.6,0.21,19,KT
111,이창재,0.68,32,0,0,0,2,0,0,0,26.2,8,8,108,22,5,0,0,10,2,0,19,0,0,2.7,2.81,1.2,166.4,158.6,0.23,21,KT
112,홍성용,0.68,56,0,0,0,2,1,1,6,45.0,28,27,202,49,14,1,7,16,0,5,42,0,2,5.4,5.39,1.44,98.1,96.3,0.04,18,KT
113,류희운,0.68,29,0,0,2,1,1,0,1,44.0,25,24,195,53,11,0,11,14,0,2,28,0,3,4.91,6.9,1.52,107.9,75.1,-0.28,18,KT
114,심재민,0.63,44,0,0,0,4,5,2,3,41.0,25,21,179,47,5,2,5,17,3,2,36,0,4,4.61,4.83,1.56,115.0,107.8,-1.13,18,KT
115,전유수,0.56,47,0,0,0,5,4,2,3,45.2,26,26,200,46,7,1,3,21,5,3,27,0,1,5.12,4.48,1.47,93.8,106.5,0.41,20,KT
116,이대은,0.54,31,0,0,0,3,2,1,9,31.0,15,12,128,27,6,0,4,11,0,1,22,0,0,3.48,4.75,1.23,128.9,93.3,-0.14,21,KT
117,이대은,0.53,43,0,0,8,4,2,17,0,85.0,48,40,387,88,17,1,10,39,1,6,58,0,5,4.24,5.12,1.49,97.7,80.1,0.93,19,KT
118,안영명,0.51,35,0,0,0,0,1,0,4,35.1,17,16,145,24,3,0,2,11,0,1,32,0,0,4.08,3.28,0.99,110.2,135.9,-0.13,21,KT
119,김민,0.46,27,0,0,26,6,11,0,0,150.2,88,83,674,175,26,4,16,65,0,4,91,2,4,4.96,4.95,1.59,83.5,83.0,-2.06,19,KT
120,김민수,0.45,28,0,0,11,8,5,2,1,81.2,46,45,354,87,12,3,10,30,2,2,56,0,4,4.96,4.73,1.43,83.5,86.8,-0.6,19,KT
121,김민,0.35,9,0,0,9,4,2,0,0,37.1,26,21,178,40,10,0,4,25,0,6,25,0,5,5.06,6.38,1.74,104.7,81.4,-0.63,18,KT
122,김사율,0.33,29,0,0,3,1,2,0,0,45.1,32,29,204,56,14,1,12,10,1,2,35,0,4,5.76,6.46,1.46,92.0,80.3,-0.87,18,KT
123,데스파이네,0.25,14,0,0,14,3,7,0,0,78.1,47,39,344,97,17,0,5,16,1,5,72,0,5,4.48,3.08,1.44,88.4,127.0,-1.11,22,KT
